country_code,year,country,managers_employment_share,energy_pc
AGO,1991,Angola,8.749,23.1476226281065
AGO,1992,Angola,8.448,22.6132896917684
AGO,1993,Angola,8.442,22.6528370615027
AGO,1994,Angola,7.786,22.2927671560112
AGO,1995,Angola,7.808,21.7012802459013
AGO,1996,Angola,7.721,21.7021788740254
AGO,1997,Angola,8.02,21.5947310548785
AGO,1998,Angola,8.192,21.0525956807289
AGO,1999,Angola,7.545,21.4309853383533
AGO,2000,Angola,7.61,21.3668151021552
AGO,2001,Angola,7.884,21.5620343866283
AGO,2002,Angola,8.546,21.7673317576746
AGO,2003,Angola,8.743,22.5476041302793
AGO,2004,Angola,8.682,22.4059746535291
AGO,2005,Angola,8.064,21.0987519320289
AGO,2006,Angola,7.958,22.1585083064514
AGO,2007,Angola,7.534,22.718421136454
AGO,2008,Angola,7.061,23.5941413955026
AGO,2009,Angola,7.558,24.593737101183
AGO,2010,Angola,6.863,24.8559883070001
AGO,2011,Angola,6.409,24.9041667663858
AGO,2012,Angola,6.42,26.1935794654647
AGO,2013,Angola,6.579,25.4188594691116
AGO,2014,Angola,6.811,25.8761178069408
ALB,1991,Albania,2.859,27.0375927825316
ALB,1992,Albania,2.967,20.569187154672
ALB,1993,Albania,2.956,20.3218415073184
ALB,1994,Albania,2.994,21.530588040197
ALB,1995,Albania,3.018,20.5167773472768
ALB,1996,Albania,3.497,21.8068990400933
ALB,1997,Albania,3.667,19.1585842552789
ALB,1998,Albania,3.698,20.9207188095579
ALB,1999,Albania,3.745,27.1800188564047
ALB,2000,Albania,3.726,27.3605173278992
ALB,2001,Albania,3.728,28.0626641379816
ALB,2002,Albania,3.737,30.691251538725
ALB,2003,Albania,3.717,30.1938765694037
ALB,2004,Albania,3.753,33.0093361175977
ALB,2005,Albania,3.798,33.1839212815785
ALB,2006,Albania,3.827,32.6511522225012
ALB,2007,Albania,3.873,31.520814921249
ALB,2008,Albania,3.218,32.8139806736634
ALB,2009,Albania,2.685,33.7169973737961
ALB,2010,Albania,2.18,33.5845978173976
ALB,2011,Albania,1.766,35.084068578321
ALB,2012,Albania,1.431,31.8572031479021
ALB,2013,Albania,1.829,36.6064459335502
ALB,2014,Albania,1.662,36.904791632203
ARE,1991,United Arab Emirates,8.964,502.2328422291
ARE,1992,United Arab Emirates,9.005,451.644014512383
ARE,1993,United Arab Emirates,9.135,449.0397978516
ARE,1994,United Arab Emirates,9.196,471.482325288092
ARE,1995,United Arab Emirates,9.264,476.387966670968
ARE,1996,United Arab Emirates,9.217,479.05267127661
ARE,1997,United Arab Emirates,9.155,481.855098878014
ARE,1998,United Arab Emirates,9.271,468.853173156794
ARE,1999,United Arab Emirates,9.025,454.809953104367
ARE,2000,United Arab Emirates,8.663,421.377284481409
ARE,2001,United Arab Emirates,8.731,509.119249285526
ARE,2002,United Arab Emirates,8.684,479.073666669296
ARE,2003,United Arab Emirates,8.538,442.00443441624
ARE,2004,United Arab Emirates,8.379,431.705170506672
ARE,2005,United Arab Emirates,8.13,409.872387224457
ARE,2006,United Arab Emirates,7.902,372.037640703888
ARE,2007,United Arab Emirates,7.873,350.382180597279
ARE,2008,United Arab Emirates,7.58,363.291331425212
ARE,2009,United Arab Emirates,7.611,330.474792379952
ARE,2010,United Arab Emirates,7.333,315.344727732045
ARE,2011,United Arab Emirates,7.071,313.65051045556
ARE,2012,United Arab Emirates,7.076,324.765234789087
ARE,2013,United Arab Emirates,7.151,328.231108459368
ARE,2014,United Arab Emirates,7.224,328.338682549763
ARG,1991,Argentina,6.772,62.9491637934103
ARG,1992,Argentina,6.71,65.179240004671
ARG,1993,Argentina,6.672,64.5278299554318
ARG,1994,Argentina,6.603,67.6024797487658
ARG,1995,Argentina,6.516,67.7154500129038
ARG,1996,Argentina,6.442,69.2973247873742
ARG,1997,Argentina,6.367,70.6279227476902
ARG,1998,Argentina,6.294,72.1529540335849
ARG,1999,Argentina,6.217,72.5569422169423
ARG,2000,Argentina,6.134,72.6040107976298
ARG,2001,Argentina,6.057,68.4829150572206
ARG,2002,Argentina,5.913,65.9436557814555
ARG,2003,Argentina,5.815,69.6074360507451
ARG,2004,Argentina,5.726,74.9709547023593
ARG,2005,Argentina,5.804,74.6327377838594
ARG,2006,Argentina,6.01,80.1119229692236
ARG,2007,Argentina,6.328,80.3069304622614
ARG,2008,Argentina,6.65,83.5743801996288
ARG,2009,Argentina,6.566,80.5482332185126
ARG,2010,Argentina,6.269,82.9522530399961
ARG,2011,Argentina,5.941,84.0091048561011
ARG,2012,Argentina,5.431,83.4463121414645
ARG,2013,Argentina,5.041,84.7592295851113
ARG,2014,Argentina,4.746,87.4282135428324
ARM,1991,Armenia,4.701,100.102984569635
ARM,1992,Armenia,3.629,53.2885377677934
ARM,1993,Armenia,3.317,30.351735292147
ARM,1994,Armenia,3.636,20.6334865028951
ARM,1995,Armenia,4.035,24.4581620042783
ARM,1996,Armenia,4.343,26.5929600878306
ARM,1997,Armenia,4.607,27.9364301525711
ARM,1998,Armenia,4.805,28.5957046268766
ARM,1999,Armenia,5.043,27.9067881012708
ARM,2000,Armenia,5.292,30.5347318846808
ARM,2001,Armenia,5.549,30.5837399917276
ARM,2002,Armenia,5.935,28.9505158695297
ARM,2003,Armenia,6.321,30.5430841370808
ARM,2004,Armenia,6.615,32.2848007186116
ARM,2005,Armenia,7.032,38.338540755311
ARM,2006,Armenia,7.452,39.264929759875
ARM,2007,Armenia,7.868,43.7794023755844
ARM,2008,Armenia,8.195,46.3042464318653
ARM,2009,Armenia,8.159,40.8860479360279
ARM,2010,Armenia,8.269,39.1896340104806
ARM,2011,Armenia,8.391,42.5945988212941
ARM,2012,Armenia,7.888,46.2125575112725
ARM,2013,Armenia,7.2,45.0235084337921
ARM,2014,Armenia,6.678,45.6809692291015
AUS,1991,Australia,10.462,209.372722146341
AUS,1992,Australia,10.503,210.688772749774
AUS,1993,Australia,10.751,218.573427012746
AUS,1994,Australia,10.745,216.155646996791
AUS,1995,Australia,10.207,217.80669877506
AUS,1996,Australia,10.016,228.874796549066
AUS,1997,Australia,9.437,232.057574887788
AUS,1998,Australia,9.455,235.576725849283
AUS,1999,Australia,9.587,237.950274899294
AUS,2000,Australia,9.704,239.362073894253
AUS,2001,Australia,10.353,231.110237056458
AUS,2002,Australia,10.401,236.246091613959
AUS,2003,Australia,10.696,236.209413074696
AUS,2004,Australia,10.233,237.43711838924
AUS,2005,Australia,10.515,236.01356414335
AUS,2006,Australia,10.671,242.095205092143
AUS,2007,Australia,10.729,248.752318802268
AUS,2008,Australia,10.752,252.784989235029
AUS,2009,Australia,11.009,248.509687324318
AUS,2010,Australia,11.151,245.602544305498
AUS,2011,Australia,11.09,243.597743851855
AUS,2012,Australia,11.029,236.482482561387
AUS,2013,Australia,11.16,232.00697236875
AUS,2014,Australia,11.331,226.408815065392
AUS,2015,Australia,11.37,232.652787639686
AUT,1991,Austria,5.363,146.042829153135
AUT,1992,Austria,5.329,138.942811574647
AUT,1993,Austria,5.295,139.36955654382
AUT,1994,Austria,5.263,138.478114840558
AUT,1995,Austria,5.23,144.302396618325
AUT,1996,Austria,5.195,152.961420518894
AUT,1997,Austria,5.161,151.704684365653
AUT,1998,Austria,5.126,154.057925895882
AUT,1999,Austria,5.091,153.438241270141
AUT,2000,Austria,5.056,152.546007400443
AUT,2001,Austria,5.02,160.415464049483
AUT,2002,Austria,4.982,161.051613094785
AUT,2003,Austria,4.942,169.424065849137
AUT,2004,Austria,4.904,170.845299290349
AUT,2005,Austria,5.344,174.110908950238
AUT,2006,Austria,5.036,173.82807280194
AUT,2007,Austria,4.974,171.34856377472
AUT,2008,Austria,4.906,171.874352847993
AUT,2009,Austria,4.79,162.077355654614
AUT,2010,Austria,4.717,172.671837513109
