ID,Condition,Humanness,Harm,Gender,Age,Pain,Experience,Q14097,Q15620
78,1,1,Unharmed,2,45,7,7,7,6
82,1,1,Unharmed,1,41,6,5.714285714,1,1
85,1,1,Unharmed,1,36,7,5.571428571,4.571428571,3
86,1,1,Unharmed,1,37,7,7,5.714285714,5
102,1,1,Unharmed,NA,26,6,6.428571429,5.428571429,6
117,1,1,Unharmed,2,36,7,7,6.142857143,7
127,1,1,Unharmed,2,25,7,7,5.857142857,5
133,1,1,Unharmed,2,29,6,5.428571429,6,6
141,1,1,Unharmed,1,22,NA,NA,NA,4
144,1,1,Unharmed,1,34,7,7,7,6
146,1,1,Unharmed,2,18,7,6.714285714,6.285714286,5
160,1,1,Unharmed,1,18,7,7,5.571428571,2
162,1,1,Unharmed,1,18,6,4,4.285714286,1
185,1,1,Unharmed,2,20,7,6,6.428571429,6
189,1,1,Unharmed,2,28,7,6.714285714,6,5
203,1,1,Unharmed,2,20,7,7,5.571428571,5
215,1,1,Unharmed,2,18,7,6.571428571,6,7
218,1,1,Unharmed,1,21,6,6,5.428571429,3
255,1,1,Unharmed,1,20,7,7,7,7
333,1,1,Unharmed,1,11,7,7,6.714285714,6
339,1,1,Unharmed,2,26,7,6.714285714,5.857142857,6
345,1,1,Unharmed,1,21,7,6.571428571,5.714285714,5
346,1,1,Unharmed,1,23,7,5.714285714,5.142857143,5
350,1,1,Unharmed,1,45,7,7,5.714285714,5
352,1,1,Unharmed,2,19,7,6.857142857,6.142857143,5
353,1,1,Unharmed,1,18,5,4.571428571,5,6
356,1,1,Unharmed,1,19,6,6.142857143,5.857142857,5
359,1,1,Unharmed,1,36,7,6.285714286,5.428571429,6
362,1,1,Unharmed,NA,20,7,6.857142857,6.142857143,6
364,1,1,Unharmed,1,18,7,6.857142857,6.571428571,5
365,1,1,Unharmed,1,18,7,5.428571429,4.857142857,4
367,1,1,Unharmed,2,18,7,5.857142857,5.714285714,6
369,1,1,Unharmed,2,18,7,6.571428571,5.142857143,7
370,1,1,Unharmed,2,45,6,5.714285714,5.142857143,5
371,1,1,Unharmed,1,18,7,6.714285714,6,2
373,1,1,Unharmed,2,18,5,6.571428571,6,6
375,1,1,Unharmed,1,30,7,6.857142857,6.428571429,5
376,1,1,Unharmed,2,18 years,6,6.142857143,6.571428571,4
377,1,1,Unharmed,1,19,5,4.571428571,4.571428571,6
378,1,1,Unharmed,1,22,4,6.142857143,6.428571429,7
383,1,1,Unharmed,2,19,7,7,5.857142857,7
389,1,1,Unharmed,1,18,7,7,7,4
391,1,1,Unharmed,2,18,7,6.857142857,6.285714286,4
392,1,1,Unharmed,2,19,7,5.571428571,6,5
394,1,1,Unharmed,2,18,6,6.142857143,5.428571429,4
397,1,1,Unharmed,2,18,7,6,4.857142857,4
398,1,1,Unharmed,2,18,5,4.285714286,4.714285714,5
406,1,1,Unharmed,1,19,7,6.857142857,6.142857143,2
409,1,1,Unharmed,2,27,7,7,5.428571429,6
421,1,1,Unharmed,2,19,7,7,6.857142857,6
423,1,1,Unharmed,2,18,7,7,6.571428571,7
425,1,1,Unharmed,1,29,7,7,6.142857143,5
429,1,1,Unharmed,1,20,7,7,6.714285714,6
430,1,1,Unharmed,2,20,4,5.428571429,4.857142857,1
437,1,1,Unharmed,2,21,6,6,5.285714286,3
438,1,1,Unharmed,1,20,7,6.857142857,5.714285714,4
442,1,1,Unharmed,2,18,6,6,6,6
443,1,1,Unharmed,2,18,4,3.142857143,5,5
444,1,1,Unharmed,1,19,7,6.285714286,6,6
446,1,1,Unharmed,1,30,7,7,7,5
449,1,1,Unharmed,2,18,7,6.857142857,5.857142857,7
453,1,1,Unharmed,2,20,7,5.571428571,4.857142857,2
455,1,1,Unharmed,1,18,7,6.285714286,4.142857143,7
63,2,1,Harmed,2,45,7,7,4.571428571,6
70,2,1,Harmed,2,45,7,4.857142857,4,1
81,2,1,Harmed,2,45,4,5.857142857,4.857142857,6
87,2,1,Harmed,1,45,5,5,6.142857143,6
94,2,1,Harmed,1,18,5,5.142857143,4.714285714,2
96,2,1,Harmed,1,23,5,5.142857143,5.571428571,4
98,2,1,Harmed,2,19,6,6,5.285714286,4
100,2,1,Harmed,1,36,6,5.857142857,5.714285714,6
105,2,1,Harmed,1,20,5,6.571428571,6,7
122,2,1,Harmed,2,19,7,5.571428571,6,6
123,2,1,Harmed,2,19,2,2.285714286,4,3
153,2,1,Harmed,1,45,7,4,3.714285714,5
155,2,1,Harmed,2,32,7,6.714285714,4.857142857,5
165,2,1,Harmed,2,45,5,5,3.142857143,6
169,2,1,Harmed,1,21,3,2.571428571,3.571428571,7
177,2,1,Harmed,1,29,7,7,3,6
184,2,1,Harmed,2,30,4,5,6,4
194,2,1,Harmed,2,23,NA,NA,NA,6
236,2,1,Harmed,1,19,7,6.714285714,4.428571429,6
240,2,1,Harmed,2,29,5,4.285714286,3.857142857,5
245,2,1,Harmed,2,21,6,6.571428571,6.142857143,6
247,2,1,Harmed,1,19,7,7,5.285714286,6
