id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4qEHMJyER7OntYTtPsIT1W,11 RAZONES,63,213180,0,['Aitana'],['7eLcDZDYHXZCebtQmVFL25'],10/12/2020,55,0.874,5,-3.937,1,0.0508,0.00599,0,0.214,0.348,166.011,4
0JBDFmwpzyOBNO0IhQVypP,Rumble Under My Toes (feat. Kwak Pureunhaneul),44,234000,0,['HubbaBubbas'],['3gIJRdZc1tEYBYBM4C5dVt'],15/05/2020,63.5,0.384,2,-9.961,1,0.0344,0.449,0,0.209,0.474,140.036,4
2M3tSjTtZzFTpXAwYfSfPf,Pa Mi Ex (Freestyle),47,111984,0,['Jay Katana'],['6H8wAx4tVatfBivuB1ZSDZ'],14/02/2020,47.1,0.638,5,-7.876,1,0.231,0.457,0,0.13,0.581,77.55,5
2LjeUVxf9m9ugARNcTlbHT,6 months,63,217162,0,['John K'],['73eAAfRkS2Vi4hx68oTJJE'],12/11/2020,66.1,0.576,3,-6.058,1,0.0412,0.26,0,0.089,0.342,145.91,4
5ofAX1L6o8URHaZCNa71PS,<U+05DC><U+05D4><U+05EA><U+05E2><U+05D5><U+05E8><U+05E8>,40,209022,0,['Atar Mayner'],['1oTaLSazZlqH2azlemNZOm'],20/12/2020,77.3,0.638,7,-6.155,1,0.0374,0.206,0.00211,0.163,0.145,92.007,4
6tkGjy9COyQuVlQxtUv4Iw,Sempre,55,167609,0,['Emanuele Aloia'],['3vkFU3DBYyYBSUt323pj76'],18/02/2020,67.1,0.865,0,-3.379,1,0.0995,0.711,0,0.112,0.605,92.045,4
1kgwsfjRZQsySCXNyU8oRM,Röda himlar,51,225560,0,['Thomas Stenström'],['2DWNa2o3BbsIHeBq7Iu6E7'],24/04/2020,74.9,0.533,0,-9.636,1,0.128,0.653,0,0.107,0.791,140.008,4
1Hkb8MmSKLnCNDSqYiJ74P,Mergaite,34,235584,0,"['Vaidas Baumila', 'Mark Les']","['7AczdBjiNUjo4pxVVucvw1', '0tmr5IEFNFo4ogDHFKDWgU']",04/09/2020,54.4,0.636,9,-9.041,0,0.0418,0.0173,5.61E-06,0.171,0.318,99.922,4
6J2LdBN97cDWn0MLxYh9HB,July,84,156106,0,['Noah Cyrus'],['55fhWPvDiMpLnE4ZzNXZyW'],15/05/2020,70.8,0.186,9,-8.953,0,0.042,0.868,0,0.0779,0.322,72.541,4
283NIRno2srDoclKAPmk0F,El Favor,54,243984,0,['Las Pastillas del Abuelo'],['0D5U7oXEE4dut2DPyUDLca'],13/11/2020,37.7,0.664,0,-5.63,1,0.0465,0.309,0,0.15,0.427,75.191,4
0qM3Ll0jb8a7tA9MOIlNFo,Youth,60,210467,0,['Ásgeir'],['7xUZ4069zcyBM4Bn10NQ1c'],07/02/2020,57.3,0.638,9,-8.7,0,0.0265,0.356,0.122,0.125,0.397,109.96,4
0nd1tWz1bmTQ2ObCnZCLV9,Saigon,56,218667,1,['Guè Pequeno'],['7F2utINZ6tSokSiZTQBE27'],25/06/2020,69,0.719,2,-5.755,0,0.0837,0.0715,0,0.107,0.315,89.994,4
1HWZduZLTzLO3jB6pcSkKn,<U+041C><U+0435><U+043D><U+044F> <U+043D><U+0435> <U+0431><U+0443><U+0434><U+0435><U+0442>,51,253598,0,"['ANIKV', 'SALUKI']","['4uWhcZCwuPopf6JGvwsN2B', '07tFgedhta5b5WaF0Yj4bH']",13/03/2020,77.9,0.358,4,-12.819,0,0.0897,0.401,0.000388,0.115,0.297,106.998,4
